date,seoul_tmax,seoul_tmin,seoul_tmean,seoul_precip_mm,seoul_rain_mm,seoul_snow_cm,seoul_precip_hours,seoul_weather_code,seoul_cloud_pct,tokyo_tmax,tokyo_tmin,tokyo_tmean,tokyo_precip_mm,tokyo_rain_mm,tokyo_snow_cm,tokyo_precip_hours,tokyo_weather_code,tokyo_cloud_pct,tmean_diff_seoul_minus_tokyo,seoul_tmean_change,tokyo_tmean_change
2026-01-01,-4.4,-11.2,-8.2,0.0,0.0,0.0,0.0,3,27,9.8,2.9,5.8,0.0,0.0,0.0,0.0,3,63,-14.0,,
2026-01-02,-5.8,-12.2,-9.2,0.0,0.0,0.0,0.0,0,0,8.8,0.8,4.3,2.8,0.5,0.7,7.0,85,78,-13.5,-1.0,-1.5
2026-01-03,-0.9,-10.7,-5.8,0.0,0.0,0.0,0.0,3,47,9.1,-1.2,3.4,0.0,0.0,0.0,0.0,3,12,-9.2,3.4,-0.9
2026-01-04,2.4,-4.6,-1.4,0.0,0.0,0.0,0.0,3,79,9.9,0.5,5.1,0.0,0.0,0.0,0.0,0,0,-6.5,4.4,1.7
2026-01-05,0.1,-5.0,-2.9,0.0,0.0,0.0,0.0,3,17,10.6,0.7,5.0,0.0,0.0,0.0,0.0,3,30,-7.9,-1.5,-0.1
2026-01-06,2.4,-7.6,-3.0,0.0,0.0,0.0,0.0,3,23,11.0,2.6,6.0,0.0,0.0,0.0,0.0,3,21,-9.0,-0.1,1.0
2026-01-07,0.9,-5.6,-1.3,0.0,0.0,0.0,0.0,3,12,5.9,1.4,3.1,0.0,0.0,0.0,0.0,3,63,-4.4,1.7,-2.9
2026-01-08,-3.2,-8.5,-5.7,0.0,0.0,0.0,0.0,0,0,9.3,-2.0,3.0,0.0,0.0,0.0,0.0,3,14,-8.7,-4.4,-0.1
2026-01-09,3.1,-7.7,-1.9,0.1,0.0,0.0,1.0,51,63,9.2,1.3,4.9,0.0,0.0,0.0,0.0,2,13,-6.8,3.8,1.9
2026-01-10,4.1,-5.0,0.7,7.1,0.4,2.1,9.0,86,59,13.9,0.6,7.6,0.0,0.0,0.0,0.0,3,30,-6.9,2.6,2.7
2026-01-11,-5.0,-9.5,-7.3,0.0,0.0,0.0,0.0,2,8,16.5,4.3,11.5,0.0,0.0,0.0,0.0,3,44,-18.8,-8.0,3.9
2026-01-12,0.3,-10.7,-5.6,3.1,0.0,2.17,7.0,86,78,9.0,-0.1,4.7,0.0,0.0,0.0,0.0,2,6,-10.3,1.7,-6.8
2026-01-13,1.0,-8.5,-4.1,0.2,0.1,0.07,1.0,71,10,14.3,-2.2,6.7,0.0,0.0,0.0,0.0,2,18,-10.8,1.5,2.0
2026-01-14,-0.4,-10.6,-5.3,0.2,0.2,0.0,1.0,51,35,11.2,3.3,6.9,0.0,0.0,0.0,0.0,1,3,-12.2,-1.2,0.2
2026-01-15,7.2,-1.4,2.1,0.0,0.0,0.0,0.0,3,75,11.0,1.2,6.7,0.0,0.0,0.0,0.0,3,46,-4.6,7.4,-0.2
2026-01-16,6.2,-1.7,0.9,0.0,0.0,0.0,0.0,3,71,17.6,3.5,10.5,0.0,0.0,0.0,0.0,0,1,-9.6,-1.2,3.8
2026-01-17,1.8,-5.7,-1.7,0.0,0.0,0.0,0.0,3,5,15.3,3.1,9.2,0.0,0.0,0.0,0.0,1,5,-10.9,-2.6,-1.3
2026-01-18,3.3,-4.4,-1.0,0.8,0.0,0.56,5.0,73,75,12.8,5.7,8.9,0.0,0.0,0.0,0.0,3,9,-9.9,0.7,-0.3
2026-01-19,-1.0,-10.5,-4.7,2.4,0.1,1.61,8.0,85,72,12.2,5.1,7.9,0.0,0.0,0.0,0.0,3,76,-12.6,-3.7,-1.0
2026-01-20,-5.9,-13.8,-10.4,0.0,0.0,0.0,0.0,3,45,8.2,2.2,5.9,0.0,0.0,0.0,0.0,3,70,-16.3,-5.7,-2.0
2026-01-21,-7.3,-14.3,-11.0,0.0,0.0,0.0,0.0,0,1,5.8,1.0,2.7,0.0,0.0,0.0,0.0,3,92,-13.7,-0.6,-3.2
2026-01-22,-6.2,-14.8,-10.6,0.0,0.0,0.0,0.0,0,1,6.4,-1.1,2.4,0.0,0.0,0.0,0.0,3,37,-13.0,0.4,-0.3
2026-01-23,-2.3,-13.2,-8.0,0.8,0.0,0.56,2.0,85,36,8.1,-3.5,2.9,0.0,0.0,0.0,0.0,2,8,-10.9,2.6,0.5
2026-01-24,-3.6,-12.7,-7.3,0.0,0.0,0.0,0.0,2,5,10.4,-3.0,3.8,0.2,0.0,0.0,2.0,51,15,-11.1,0.7,0.9
2026-01-25,-3.8,-12.2,-8.2,0.0,0.0,0.0,0.0,3,16,7.2,0.5,3.3,0.0,0.0,0.0,0.0,3,19,-11.5,-0.9,-0.5
2026-01-26,-2.5,-11.4,-7.2,0.0,0.0,0.0,0.0,3,83,7.9,-0.5,3.9,0.0,0.0,0.0,0.0,3,60,-11.1,1.0,0.6
2026-01-27,-1.8,-9.0,-5.7,0.0,0.0,0.0,0.0,3,19,9.8,1.4,5.4,0.0,0.0,0.0,0.0,3,36,-11.1,1.5,1.5
2026-01-28,-2.5,-10.7,-6.8,0.0,0.0,0.0,0.0,0,0,9.0,1.6,5.2,0.0,0.0,0.0,0.0,3,50,-12.0,-1.1,-0.2
2026-01-29,-1.9,-10.6,-6.6,0.0,0.0,0.0,0.0,3,16,8.0,1.5,4.5,0.4,0.0,0.28,3.0,85,59,-11.1,0.2,-0.7
2026-01-30,-3.7,-11.4,-7.8,0.0,0.0,0.0,0.0,3,47,8.9,-1.8,3.3,0.0,0.0,0.0,0.0,3,16,-11.1,-1.2,-1.2
2026-01-31,-0.6,-12.1,-6.4,0.0,0.0,0.0,0.0,3,24,8.6,-0.3,4.0,0.0,0.0,0.0,0.0,3,17,-10.4,1.4,0.7
2026-02-01,0.6,-8.8,-3.8,0.1,0.0,0.07,1.0,85,40,10.6,-1.1,4.9,0.0,0.0,0.0,0.0,3,20,-8.7,2.6,0.9
2026-02-02,-0.5,-6.7,-3.5,1.3,0.0,0.91,4.0,85,28,10.7,0.6,6.0,0.0,0.0,0.0,0.0,3,25,-9.5,0.3,1.1
2026-02-03,3.0,-8.9,-3.2,0.0,0.0,0.0,0.0,3,20,9.9,2.3,5.6,0.0,0.0,0.0,0.0,1,6,-8.8,0.3,-0.4
2026-02-04,5.7,-2.3,0.8,0.0,0.0,0.0,0.0,3,69,11.0,-0.3,5.6,0.0,0.0,0.0,0.0,3,34,-4.8,4.0,0.0
2026-02-05,7.5,-3.1,1.7,0.0,0.0,0.0,0.0,3,84,13.4,2.0,8.1,0.0,0.0,0.0,0.0,3,67,-6.4,0.9,2.5
2026-02-06,-3.9,-9.8,-6.7,0.0,0.0,0.0,0.0,3,80,15.8,1.4,8.5,0.0,0.0,0.0,0.0,3,35,-15.2,-8.4,0.4
2026-02-07,-5.1,-11.0,-8.7,0.0,0.0,0.0,0.0,3,29,5.9,0.6,2.7,3.9,0.1,2.66,12.0,73,98,-11.4,-2.0,-5.8
2026-02-08,-4.8,-13.3,-9.1,0.0,0.0,0.0,0.0,0,0,0.3,-3.4,-1.8,8.6,0.4,5.74,14.0,75,86,-7.3,-0.4,-4.5
2026-02-09,1.3,-11.0,-5.2,0.0,0.0,0.0,0.0,3,11,9.1,-3.1,2.6,0.0,0.0,0.0,0.0,2,4,-7.8,3.9,4.4
2026-02-10,4.7,-3.3,-0.5,0.6,0.3,0.21,6.0,71,100,10.7,-0.5,5.1,0.0,0.0,0.0,0.0,3,48,-5.6,4.7,2.5
2026-02-11,5.3,-1.8,1.1,0.0,0.0,0.0,0.0,3,65,9.0,0.8,5.3,13.5,10.9,0.0,10.0,81,70,-4.2,1.6,0.2
2026-02-12,6.6,-4.0,0.6,0.0,0.0,0.0,0.0,3,23,10.2,3.8,6.5,0.0,0.0,0.0,0.0,3,51,-5.9,-0.5,1.2
2026-02-13,8.4,-0.4,3.1,0.0,0.0,0.0,0.0,3,75,12.0,2.4,6.4,0.0,0.0,0.0,0.0,3,21,-3.3,2.5,-0.1
2026-02-14,10.5,-0.5,4.3,0.0,0.0,0.0,0.0,3,94,15.0,1.2,8.2,0.0,0.0,0.0,0.0,3,49,-3.9,1.2,1.8
2026-02-15,9.3,-1.2,4.5,0.0,0.0,0.0,0.0,3,66,18.1,5.4,11.6,0.0,0.0,0.0,0.0,3,14,-7.1,0.2,3.4
2026-02-16,6.0,-3.7,0.3,0.0,0.0,0.0,0.0,3,56,15.4,6.0,11.0,5.3,4.8,0.0,6.0,61,75,-10.7,-4.2,-0.6
2026-02-17,4.7,-4.9,-0.7,0.0,0.0,0.0,0.0,2,6,7.1,2.8,5.1,2.6,2.6,0.0,6.0,55,98,-5.8,-1.0,-5.9
2026-02-18,5.0,-2.2,1.1,0.0,0.0,0.0,0.0,0,0,11.6,3.4,7.2,0.1,0.0,0.0,1.0,51,24,-6.1,1.8,2.1
2026-02-19,5.0,-4.2,-0.4,0.0,0.0,0.0,0.0,0,0,9.8,1.5,5.0,0.0,0.0,0.0,0.0,0,3,-5.4,-1.5,-2.2
2026-02-20,10.6,-2.5,3.1,0.0,0.0,0.0,0.0,2,4,10.8,0.2,5.5,0.0,0.0,0.0,0.0,3,65,-2.4,3.5,0.5
2026-02-21,15.1,1.2,7.5,0.0,0.0,0.0,0.0,3,27,14.7,3.0,9.0,0.0,0.0,0.0,0.0,2,9,-1.5,4.4,3.5
2026-02-22,10.8,0.1,6.9,0.1,0.0,0.0,1.0,51,46,17.5,2.4,11.2,0.0,0.0,0.0,0.0,3,21,-4.3,-0.6,2.2
2026-02-23,4.4,-2.7,0.4,0.0,0.0,0.0,0.0,3,51,22.8,12.2,17.6,0.0,0.0,0.0,0.0,3,46,-17.2,-6.5,6.4
2026-02-24,3.8,-1.4,0.4,1.3,0.0,0.91,9.0,73,76,19.2,10.6,13.8,0.0,0.0,0.0,0.0,3,96,-13.4,0.0,-3.8
2026-02-25,12.4,-1.7,4.3,0.0,0.0,0.0,0.0,0,0,13.1,6.5,9.4,49.5,48.2,0.0,22.0,81,100,-5.1,3.9,-4.4
2026-02-26,10.9,-1.4,4.8,0.0,0.0,0.0,0.0,3,75,12.1,5.7,8.5,0.8,0.8,0.0,3.0,53,95,-3.7,0.5,-0.9
2026-02-27,12.0,3.6,7.1,0.0,0.0,0.0,0.0,3,49,16.2,7.9,11.4,0.0,0.0,0.0,0.0,3,100,-4.3,2.3,2.9
2026-02-28,13.7,-0.5,6.2,0.0,0.0,0.0,0.0,3,18,17.8,9.6,12.6,0.0,0.0,0.0,0.0,3,55,-6.4,-0.9,1.2
2026-03-01,11.5,3.1,6.6,0.5,0.5,0.0,3.0,51,98,16.7,6.9,11.5,0.0,0.0,0.0,0.0,3,25,-4.9,0.4,-1.1
2026-03-02,5.3,1.6,3.7,12.0,10.7,0.91,20.0,73,100,13.1,8.1,10.5,0.2,0.2,0.0,2.0,51,99,-6.8,-2.9,-1.0
2026-03-03,9.7,1.0,4.5,1.4,1.1,0.21,6.0,71,85,10.4,4.3,7.5,18.4,17.1,0.0,20.0,80,100,-3.0,0.8,-3.0
2026-03-04,9.9,-0.6,4.5,0.0,0.0,0.0,0.0,3,27,13.9,4.5,8.0,19.2,16.0,0.0,11.0,81,54,-3.5,0.0,0.5
2026-03-05,11.2,-1.2,3.8,11.8,5.2,4.62,7.0,75,79,14.6,5.4,8.5,0.0,0.0,0.0,0.0,1,7,-4.7,-0.7,0.5
2026-03-06,4.0,-2.1,1.0,0.9,0.2,0.35,3.0,73,83,13.2,3.5,7.9,0.0,0.0,0.0,0.0,3,66,-6.9,-2.8,-0.6
2026-03-07,3.9,-4.1,-0.6,0.0,0.0,0.0,0.0,1,2,15.1,6.8,10.8,1.7,1.6,0.0,5.0,53,71,-11.4,-1.6,2.9
2026-03-08,4.9,-4.3,-0.2,0.0,0.0,0.0,0.0,3,26,10.6,3.2,6.4,0.6,0.1,0.07,3.0,85,36,-6.6,0.4,-4.4
2026-03-09,6.8,-1.0,2.7,0.1,0.0,0.0,1.0,51,52,11.6,2.2,6.6,0.0,0.0,0.0,0.0,3,74,-3.9,2.9,0.2
2026-03-10,6.8,-2.8,1.5,0.0,0.0,0.0,0.0,3,18,8.2,2.3,4.9,4.0,0.6,0.63,11.0,85,49,-3.4,-1.2,-1.7
2026-03-11,7.9,-1.4,2.5,0.0,0.0,0.0,0.0,3,48,10.1,0.5,5.5,0.0,0.0,0.0,0.0,3,20,-3.0,1.0,0.6
2026-03-12,11.5,-1.2,4.8,0.0,0.0,0.0,0.0,2,16,11.2,3.4,7.0,0.0,0.0,0.0,0.0,3,34,-2.2,2.3,1.5
2026-03-13,10.6,0.4,5.3,0.0,0.0,0.0,0.0,3,24,10.0,2.8,6.6,0.0,0.0,0.0,0.0,3,95,-1.3,0.5,-0.4
2026-03-14,11.3,2.3,5.6,0.0,0.0,0.0,0.0,3,80,15.4,5.0,9.3,0.0,0.0,0.0,0.0,3,35,-3.7,0.3,2.7
2026-03-15,9.7,2.4,5.2,0.4,0.4,0.0,4.0,51,69,15.3,4.5,10.1,0.0,0.0,0.0,0.0,3,41,-4.9,-0.4,0.8
2026-03-16,11.4,-0.3,5.0,0.0,0.0,0.0,0.0,3,75,13.7,6.9,9.8,2.8,2.7,0.0,10.0,53,80,-4.8,-0.2,-0.3
2026-03-17,12.5,-1.5,5.3,0.0,0.0,0.0,0.0,3,13,14.5,7.6,10.9,0.0,0.0,0.0,0.0,3,71,-5.6,0.3,1.1
2026-03-18,8.8,3.4,5.1,5.6,5.6,0.0,10.0,55,96,16.9,7.9,12.4,4.2,0.7,0.0,9.0,80,91,-7.3,-0.2,1.5
2026-03-19,10.5,-1.1,4.1,0.0,0.0,0.0,0.0,3,32,19.5,10.6,14.1,7.2,6.3,0.0,13.0,80,96,-10.0,-1.0,1.7
2026-03-20,11.5,-0.1,5.2,0.0,0.0,0.0,0.0,3,14,11.1,7.3,9.7,4.8,4.8,0.0,10.0,61,89,-4.5,1.1,-4.4
