date,ベビー服,コニー,ユニクロ キッズ,プティマイン
2026-05-05,80.0,77.0,25.0,54.0
2026-05-06,76.0,60.0,25.0,48.0
2026-05-07,73.0,74.0,27.0,37.0
2026-05-08,82.0,62.0,28.0,59.0
2026-05-09,88.0,78.0,32.0,77.0
2026-05-10,95.0,87.0,39.0,69.0
2026-05-11,76.0,81.0,34.0,51.0
2026-05-12,68.0,84.0,24.0,50.0
2026-05-13,76.0,79.0,28.0,54.0
2026-05-14,74.0,55.0,34.0,56.0
2026-05-15,85.0,65.0,32.0,64.0
2026-05-16,93.0,72.0,43.0,66.0
2026-05-17,100.0,72.0,44.0,68.0
2026-05-18,77.0,80.0,40.0,48.0
2026-05-19,75.0,63.0,31.0,46.0
2026-05-20,77.0,62.0,34.0,54.0
2026-05-21,71.0,65.0,20.0,43.0
2026-05-22,86.0,63.0,40.0,50.0
2026-05-23,74.0,88.0,34.0,56.0
2026-05-24,75.0,65.0,43.0,56.0
2026-05-25,47.0,76.0,25.0,58.0
2026-05-26,75.0,62.0,23.0,34.0
2026-05-27,83.0,60.0,32.0,56.0
2026-05-28,67.0,74.0,37.0,54.0
2026-05-29,62.0,67.0,27.0,50.0
2026-05-30,87.0,70.0,33.0,62.0
2026-05-31,77.0,75.0,43.0,59.0
2026-06-01,68.0,63.0,28.0,67.0
2026-06-02,70.0,53.0,15.0,39.0
2026-06-03,69.0,78.0,22.0,63.0
2026-06-04,77.0,73.0,18.0,55.0
2026-06-05,66.0,64.0,17.0,57.0
2026-06-06,68.0,64.0,18.0,62.0
2026-06-07,73.0,73.0,32.0,58.0
2026-06-08,61.0,56.0,21.0,43.0
2026-06-09,86.0,62.0,15.0,45.0
2026-06-10,71.0,68.0,22.0,45.0
2026-06-11,68.0,66.0,18.0,42.0
2026-06-12,86.0,76.0,22.0,46.0
2026-06-13,68.0,61.0,24.0,68.0
2026-06-14,85.0,76.0,22.0,53.0
2026-06-15,69.0,55.0,12.0,36.0
2026-06-16,75.0,46.0,11.0,50.0
2026-06-17,65.0,61.0,19.0,55.0
2026-06-18,79.0,60.0,18.0,53.0
2026-06-19,73.0,61.0,17.0,63.0
2026-06-20,83.0,73.0,31.0,67.0
2026-06-21,58.0,74.0,19.0,66.0
2026-06-22,72.0,60.0,20.0,46.0
2026-06-23,72.0,77.0,22.0,48.0
2026-06-24,65.0,58.0,18.0,31.0
2026-06-25,51.0,54.0,17.0,47.0
2026-06-26,49.0,48.0,0.0,48.0
2026-06-27,84.0,56.0,0.0,58.0
2026-06-28,77.0,68.0,29.0,64.0
2026-06-29,77.0,51.0,17.0,50.0
2026-06-30,58.0,56.0,14.0,46.0
2026-07-01,64.0,53.0,19.0,46.0
2026-07-02,65.0,57.0,15.0,47.0
2026-07-03,67.0,74.0,0.0,61.0
2026-07-04,79.0,65.0,22.0,73.0
2026-07-05,86.0,65.0,25.0,75.0
2026-07-06,69.0,62.0,15.0,45.0
2026-07-07,64.0,62.0,14.0,48.0
2026-07-08,91.0,64.0,26.0,49.0
2026-07-09,71.0,63.0,26.0,44.0
2026-07-10,81.0,67.0,16.0,52.0
2026-07-11,84.0,66.0,24.0,66.0
2026-07-12,90.0,63.0,34.0,70.0
2026-07-13,78.0,62.0,15.0,51.0
2026-07-14,84.0,53.0,19.0,47.0
2026-07-15,83.0,75.0,22.0,40.0
2026-07-16,75.0,68.0,21.0,53.0
2026-07-17,65.0,66.0,24.0,56.0
2026-07-18,72.0,73.0,32.0,63.0
2026-07-19,96.0,72.0,35.0,68.0
2026-07-20,81.0,64.0,25.0,74.0
2026-07-21,69.0,60.0,19.0,49.0
2026-07-22,65.0,64.0,19.0,43.0
2026-07-23,65.0,64.0,20.0,54.0
2026-07-24,74.0,67.0,20.0,57.0
2026-07-25,75.0,68.0,25.0,63.0
2026-07-26,74.0,61.0,23.0,56.0
2026-07-27,65.0,57.0,14.0,41.0
2026-07-28,65.0,59.0,17.0,41.0
2026-07-29,60.0,57.0,17.0,40.0
2026-07-30,66.0,63.0,19.0,41.0
2026-07-31,62.0,58.0,18.0,47.0
2026-08-01,79.0,60.0,20.0,50.0
2026-08-02,73.0,56.0,20.0,51.0
2026-08-03,62.948,57.126,14.156,41.328
2026-08-04,75.937,60.08,16.044,45.264
2026-08-05,67.944,83.719,16.044,44.28
2026-08-06,70.941,89.628,16.044,52.152
2026-08-07,67.944,66.975,14.156,66.912
2026-08-08,72.939,64.02,18.875,58.056
2026-08-09,74.938,60.08,18.875,55.104
2026-08-10,70.941,59.095,15.1,44.28
2026-08-11,78.716,61.462,17.379,50.064
2026-08-12,67.933,63.581,16.357,45.804
2026-08-13,67.933,58.283,14.312,44.738
2026-08-14,72.246,60.402,14.312,42.608
2026-08-15,76.559,63.581,17.379,53.26
2026-08-16,76.559,63.581,17.379,48.999
