week_start,week_end,ベビー服,コニー,ユニクロ キッズ,プティマイン,days_covered
2026-05-04,2026-05-10,82.33,73.0,29.33,57.33,6
2026-05-11,2026-05-17,81.71,72.57,34.14,58.43,7
2026-05-18,2026-05-24,76.43,69.43,34.57,50.43,7
2026-05-25,2026-05-31,71.14,69.14,31.43,53.29,7
2026-06-01,2026-06-07,70.14,66.86,21.43,57.29,7
2026-06-08,2026-06-14,75.0,66.43,20.57,48.86,7
2026-06-15,2026-06-21,71.71,61.43,18.14,55.71,7
2026-06-22,2026-06-28,67.14,60.14,15.14,48.86,7
2026-06-29,2026-07-05,70.86,60.14,16.0,56.86,7
2026-07-06,2026-07-12,78.57,63.86,22.14,53.43,7
2026-07-13,2026-07-19,79.0,67.0,24.0,54.0,7
2026-07-20,2026-07-26,71.86,64.0,21.57,56.57,7
2026-07-27,2026-08-02,67.14,58.57,17.86,44.43,7
2026-08-03,2026-08-09,70.51,68.8,16.31,51.87,7
2026-08-10,2026-08-16,72.98,61.43,16.03,47.11,7
