week_start,week_end,ベビー服,コニー,ユニクロ キッズ,プティマイン,complete
2023-12-31,2024-01-06,47.0,38.0,24.0,54.0,1
2024-01-07,2024-01-13,53.0,39.0,30.0,46.0,1
2024-01-14,2024-01-20,52.0,40.0,30.0,44.0,1
2024-01-21,2024-01-27,55.0,38.0,27.0,46.0,1
2024-01-28,2024-02-03,54.0,41.0,22.0,49.0,1
2024-02-04,2024-02-10,57.0,45.0,23.0,52.0,1
2024-02-11,2024-02-17,64.0,43.0,21.0,51.0,1
2024-02-18,2024-02-24,59.0,46.0,21.0,60.0,1
2024-02-25,2024-03-02,59.0,41.0,17.0,51.0,1
2024-03-03,2024-03-09,57.0,45.0,20.0,50.0,1
2024-03-10,2024-03-16,64.0,41.0,23.0,50.0,1
2024-03-17,2024-03-23,67.0,42.0,23.0,57.0,1
2024-03-24,2024-03-30,61.0,50.0,24.0,51.0,1
2024-03-31,2024-04-06,56.0,91.0,29.0,58.0,1
2024-04-07,2024-04-13,59.0,100.0,29.0,56.0,1
2024-04-14,2024-04-20,65.0,47.0,31.0,58.0,1
2024-04-21,2024-04-27,56.0,75.0,30.0,46.0,1
2024-04-28,2024-05-04,59.0,58.0,33.0,48.0,1
2024-05-05,2024-05-11,54.0,46.0,25.0,41.0,1
2024-05-12,2024-05-18,52.0,45.0,22.0,47.0,1
2024-05-19,2024-05-25,53.0,39.0,25.0,41.0,1
2024-05-26,2024-06-01,50.0,43.0,24.0,38.0,1
2024-06-02,2024-06-08,50.0,41.0,23.0,43.0,1
2024-06-09,2024-06-15,48.0,41.0,22.0,40.0,1
2024-06-16,2024-06-22,49.0,41.0,20.0,42.0,1
2024-06-23,2024-06-29,51.0,44.0,20.0,37.0,1
2024-06-30,2024-07-06,51.0,43.0,20.0,44.0,1
2024-07-07,2024-07-13,51.0,41.0,20.0,41.0,1
2024-07-14,2024-07-20,53.0,40.0,22.0,38.0,1
2024-07-21,2024-07-27,48.0,40.0,16.0,39.0,1
2024-07-28,2024-08-03,46.0,43.0,17.0,32.0,1
2024-08-04,2024-08-10,50.0,38.0,16.0,33.0,1
2024-08-11,2024-08-17,51.0,43.0,14.0,32.0,1
2024-08-18,2024-08-24,50.0,47.0,13.0,39.0,1
2024-08-25,2024-08-31,52.0,46.0,13.0,37.0,1
2024-09-01,2024-09-07,58.0,46.0,17.0,41.0,1
2024-09-08,2024-09-14,56.0,42.0,18.0,40.0,1
2024-09-15,2024-09-21,67.0,41.0,19.0,43.0,1
2024-09-22,2024-09-28,69.0,43.0,26.0,48.0,1
2024-09-29,2024-10-05,69.0,42.0,28.0,47.0,1
2024-10-06,2024-10-12,72.0,43.0,37.0,56.0,1
2024-10-13,2024-10-19,67.0,41.0,27.0,52.0,1
2024-10-20,2024-10-26,59.0,48.0,37.0,56.0,1
2024-10-27,2024-11-02,64.0,77.0,36.0,61.0,1
2024-11-03,2024-11-09,74.0,59.0,53.0,67.0,1
2024-11-10,2024-11-16,84.0,52.0,38.0,57.0,1
2024-11-17,2024-11-23,90.0,53.0,58.0,76.0,1
2024-11-24,2024-11-30,79.0,50.0,46.0,63.0,1
2024-12-01,2024-12-07,74.0,50.0,35.0,69.0,1
2024-12-08,2024-12-14,74.0,47.0,44.0,56.0,1
2024-12-15,2024-12-21,75.0,55.0,39.0,56.0,1
2024-12-22,2024-12-28,54.0,45.0,31.0,50.0,1
2024-12-29,2025-01-04,72.0,45.0,27.0,57.0,1
2025-01-05,2025-01-11,50.0,43.0,29.0,54.0,1
2025-01-12,2025-01-18,55.0,46.0,26.0,52.0,1
2025-01-19,2025-01-25,56.0,46.0,20.0,49.0,1
2025-01-26,2025-02-01,55.0,44.0,20.0,54.0,1
2025-02-02,2025-02-08,55.0,47.0,24.0,59.0,1
2025-02-09,2025-02-15,63.0,46.0,22.0,45.0,1
2025-02-16,2025-02-22,51.0,46.0,24.0,50.0,1
2025-02-23,2025-03-01,67.0,49.0,24.0,49.0,1
2025-03-02,2025-03-08,67.0,52.0,21.0,55.0,1
2025-03-09,2025-03-15,63.0,46.0,20.0,53.0,1
2025-03-16,2025-03-22,67.0,52.0,23.0,63.0,1
2025-03-23,2025-03-29,69.0,50.0,29.0,60.0,1
2025-03-30,2025-04-05,55.0,47.0,19.0,46.0,1
2025-04-06,2025-04-12,63.0,43.0,28.0,47.0,1
2025-04-13,2025-04-19,65.0,49.0,27.0,54.0,1
2025-04-20,2025-04-26,70.0,85.0,28.0,51.0,1
2025-04-27,2025-05-03,58.0,65.0,23.0,47.0,1
2025-05-04,2025-05-10,56.0,44.0,25.0,45.0,1
2025-05-11,2025-05-17,58.0,49.0,24.0,43.0,1
2025-05-18,2025-05-24,63.0,48.0,32.0,64.0,1
2025-05-25,2025-05-31,53.0,46.0,24.0,45.0,1
